No.,productname,unit,quantity,price,total,orderdate,customername,customercontactname,customeraddress,customercity,customerpostalcode,customercountry,shippername,shipperphone,suppliername,suppliercontactname,supplieraddress,suppliercity,supplierpostalcode,suppliercountry,supplierphone,categoryname,categorydescription
157,Filo Mix,16 - 2 kg boxes,20,7,140,10/4/1996,Pericles Comidas clásicas,Guillermo Fernández,Calle Dr. Jorge Cash 321,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Grains/Cereals,"Breads, crackers, pasta, and cereal"
158,Genen Shouyu,24 - 250 ml bottles,5,15.5,77.5,10/7/1996,Königlich Essen,Philip Cramer,Maubelstr. 90,Brandenburg,14776,Germany,Speedy Express,(503) 555-9831,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
159,NuNuCa Nup-Nougat-Creme,20 - 450 g glasses,4,14,56,10/7/1996,Königlich Essen,Philip Cramer,Maubelstr. 90,Brandenburg,14776,Germany,Speedy Express,(503) 555-9831,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
160,Chartreuse verte,750 cc per bottle,4,18,72,10/7/1996,Königlich Essen,Philip Cramer,Maubelstr. 90,Brandenburg,14776,Germany,Speedy Express,(503) 555-9831,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
161,Pavlova,32 - 500 g boxes,21,17.45,366.45,10/8/1996,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,Speedy Express,(503) 555-9831,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Confections,"Desserts, candies, and sweet breads"
162,Steeleye Stout,24 - 12 oz bottles,70,18,1260,10/8/1996,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,Speedy Express,(503) 555-9831,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
163,Spegesild,4 - 450 g glasses,30,12,360,10/8/1996,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,Speedy Express,(503) 555-9831,Lyngbysild,Niels Petersen,Lyngbysild Fiskebakken 10,Lyngby,2800,Denmark,43844108,Seafood,Seaweed and fish
164,Raclette Courdavault,5 kg pkg.,40,55,2200,10/8/1996,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,Speedy Express,(503) 555-9831,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
165,Vegie-spread,15 - 625 g jars,80,43.9,3512,10/8/1996,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,Speedy Express,(503) 555-9831,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
166,Grandma's Boysenberry Spread,12 - 8 oz jars,6,25,150,10/9/1996,Königlich Essen,Philip Cramer,Maubelstr. 90,Brandenburg,14776,Germany,Federal Shipping,(503) 555-9931,Grandma Kelly's Homestead,Regina Murphy,707 Oxford Rd.,Ann Arbor,48104,USA,(313) 555-5735,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
167,Konbu,2 kg box,12,6,72,10/9/1996,Königlich Essen,Philip Cramer,Maubelstr. 90,Brandenburg,14776,Germany,Federal Shipping,(503) 555-9931,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Seafood,Seaweed and fish
168,Tofu,40 - 100 g pkgs.,9,23.25,209.25,10/9/1996,Königlich Essen,Philip Cramer,Maubelstr. 90,Brandenburg,14776,Germany,Federal Shipping,(503) 555-9931,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Produce,Dried fruit and bean curd
169,Gorgonzola Telino,12 - 100 g pkgs,4,12.5,50,10/9/1996,Königlich Essen,Philip Cramer,Maubelstr. 90,Brandenburg,14776,Germany,Federal Shipping,(503) 555-9931,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
170,Mozzarella di Giovanni,24 - 200 g pkgs.,40,34.8,1392,10/9/1996,Königlich Essen,Philip Cramer,Maubelstr. 90,Brandenburg,14776,Germany,Federal Shipping,(503) 555-9931,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
171,Chef Anton's Cajun Seasoning,48 - 6 oz jars,24,22,528,10/10/1996,Bólido Comidas preparadas,Martín Sommer,"C/ Araquil, 67",Madrid,28023,Spain,United Package,(503) 555-3199,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
172,Ravioli Angelo,24 - 250 g pkgs.,16,19.5,312,10/10/1996,Bólido Comidas preparadas,Martín Sommer,"C/ Araquil, 67",Madrid,28023,Spain,United Package,(503) 555-3199,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
173,Rhonbrau Klosterbier,24 - 0.5 l bottles,50,7.75,387.5,10/10/1996,Bólido Comidas preparadas,Martín Sommer,"C/ Araquil, 67",Madrid,28023,Spain,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Beverages,"Soft drinks, coffees, teas, beers, and ales"
174,Scottish Longbreads,10 boxes x 8 pieces,3,12.5,37.5,9/17/1996,Lonesome Pine Restaurant,Fran Wilson,89 Chiaroscuro Rd.,Portland,97219,USA,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
175,Gudbrandsdalsost,10 kg pkg.,1,36,36,9/18/1996,Ana Trujillo Emparedados y helados,Ana Trujillo,Avda. de la Constitución 2222,México D.F.,5021,Mexico,Federal Shipping,(503) 555-9931,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
176,Outback Lager,24 - 355 ml bottles,5,15,75,9/18/1996,Ana Trujillo Emparedados y helados,Ana Trujillo,Avda. de la Constitución 2222,México D.F.,5021,Mexico,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Beverages,"Soft drinks, coffees, teas, beers, and ales"
177,Chef Anton's Cajun Seasoning,48 - 6 oz jars,20,22,440,9/19/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,Speedy Express,(503) 555-9831,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
178,Grandma's Boysenberry Spread,12 - 8 oz jars,30,25,750,9/19/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,Speedy Express,(503) 555-9831,Grandma Kelly's Homestead,Regina Murphy,707 Oxford Rd.,Ann Arbor,48104,USA,(313) 555-5735,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
179,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,2,14,28,9/19/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,Speedy Express,(503) 555-9831,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Grains/Cereals,"Breads, crackers, pasta, and cereal"
180,Ipoh Coffee,16 - 500 g tins,20,46,920,9/19/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,Speedy Express,(503) 555-9831,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Beverages,"Soft drinks, coffees, teas, beers, and ales"
181,Fløtemysost,10 - 500 g pkgs.,3,21.5,64.5,9/19/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,Speedy Express,(503) 555-9831,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
182,Pavlova,32 - 500 g boxes,10,17.45,174.5,9/20/1996,The Big Cheese,Liz Nixon,89 Jefferson Way Suite 2,Portland,97201,USA,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Confections,"Desserts, candies, and sweet breads"
183,Tarte au sucre,48 pies,5,49.3,246.5,9/20/1996,The Big Cheese,Liz Nixon,89 Jefferson Way Suite 2,Portland,97201,USA,United Package,(503) 555-3199,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Confections,"Desserts, candies, and sweet breads"
184,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,6,14,84,9/20/1996,Du monde entier,Janine Labrune,"67, rue des Cinquante Otages",Nantes,44000,France,Federal Shipping,(503) 555-9931,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Grains/Cereals,"Breads, crackers, pasta, and cereal"
185,Gudbrandsdalsost,10 kg pkg.,7,36,252,9/20/1996,Du monde entier,Janine Labrune,"67, rue des Cinquante Otages",Nantes,44000,France,Federal Shipping,(503) 555-9931,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
186,Rossle Sauerkraut,25 - 825 g cans,4,45.6,182.4,9/23/1996,Die Wandernde Kuh,Rita Müller,Adenauerallee 900,Stuttgart,70563,Germany,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Produce,Dried fruit and bean curd
187,Ipoh Coffee,16 - 500 g tins,24,46,1104,9/23/1996,Die Wandernde Kuh,Rita Müller,Adenauerallee 900,Stuttgart,70563,Germany,United Package,(503) 555-3199,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Beverages,"Soft drinks, coffees, teas, beers, and ales"
188,Tofu,40 - 100 g pkgs.,10,23.25,232.5,10/18/1996,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Federal Shipping,(503) 555-9931,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Produce,Dried fruit and bean curd
189,Sir Rodney's Scones,24 pkgs. x 4 pieces,10,10,100,10/18/1996,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Federal Shipping,(503) 555-9931,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
190,Fløtemysost,10 - 500 g pkgs.,40,21.5,860,10/18/1996,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Federal Shipping,(503) 555-9931,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
191,Filo Mix,16 - 2 kg boxes,8,7,56,10/21/1996,Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,United Package,(503) 555-3199,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Grains/Cereals,"Breads, crackers, pasta, and cereal"
192,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,40,21.05,842,10/14/1996,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Jardim das rosas n. 32,Lisboa,1675,Portugal,Federal Shipping,(503) 555-9931,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
193,Scottish Longbreads,10 boxes x 8 pieces,10,12.5,125,10/14/1996,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Jardim das rosas n. 32,Lisboa,1675,Portugal,Federal Shipping,(503) 555-9931,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
194,Teatime Chocolate Biscuits,10 boxes x 12 pieces,10,9.2,92,10/15/1996,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
195,Nord-Ost Matjeshering,10 - 200 g glasses,8,25.89,207.12,10/15/1996,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,United Package,(503) 555-3199,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Frahmredder 112a,Cuxhaven,27478,Germany,(04721) 8713,Seafood,Seaweed and fish
196,Cote de Blaye,12 - 75 cl bottles,20,263.5,5270,10/15/1996,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,United Package,(503) 555-3199,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
197,Gnocchi di nonna Alice,24 - 250 g pkgs.,12,38,456,10/15/1996,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,United Package,(503) 555-3199,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
198,Gumbar Gummibarchen,100 - 250 g bags,50,31.23,1561.5,10/16/1996,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Speedy Express,(503) 555-9831,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
199,Mozzarella di Giovanni,24 - 200 g pkgs.,25,34.8,870,10/16/1996,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Speedy Express,(503) 555-9831,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
200,Tourtière,16 pies,15,7.45,111.75,10/16/1996,Bon app',Laurence Lebihans,"12, rue des Bouchers",Marseille,13008,France,Speedy Express,(503) 555-9831,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
201,Carnarvon Tigers,16 kg pkg.,40,62.5,2500,10/17/1996,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Seafood,Seaweed and fish
202,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,10,14,140,10/17/1996,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,United Package,(503) 555-3199,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Grains/Cereals,"Breads, crackers, pasta, and cereal"
203,Zaanse koeken,10 - 4 oz boxes,16,9.5,152,10/17/1996,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,United Package,(503) 555-3199,Zaanse Snoepfabriek,Dirk Luchte,Verkoop Rijnweg 22,Zaandam,9999 ZZ,Netherlands,(12345) 1212,Confections,"Desserts, candies, and sweet breads"
204,Manjimup Dried Apples,50 - 300 g pkgs.,48,53,2544,10/22/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,United Package,(503) 555-3199,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Produce,Dried fruit and bean curd
205,Chef Anton's Cajun Seasoning,48 - 6 oz jars,18,22,396,10/23/1996,Princesa Isabel Vinhoss,Isabel de Castro,Estrada da saúde n. 58,Lisboa,1756,Portugal,United Package,(503) 555-3199,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
206,Tunnbrod,12 - 250 g pkgs.,40,9,360,10/24/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Federal Shipping,(503) 555-9931,PB Knäckebröd AB,Lars Peterson,Kaloadagatan 13,Göteborg,S-345 67,Sweden,031-987 65 43,Grains/Cereals,"Breads, crackers, pasta, and cereal"
207,Gumbar Gummibarchen,100 - 250 g bags,24,31.23,749.52,10/24/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Federal Shipping,(503) 555-9931,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
208,Inlagd Sill,24 - 250 g jars,20,19,380,10/24/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Federal Shipping,(503) 555-9931,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
209,Gravad lax,12 - 500 g pkgs.,28,26,728,10/24/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Federal Shipping,(503) 555-9931,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
210,Mozzarella di Giovanni,24 - 200 g pkgs.,25,34.8,870,10/24/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,Federal Shipping,(503) 555-9931,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
211,Alice Mutton,20 - 1 kg tins,20,39,780,10/25/1996,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Meat/Poultry,Prepared meats
212,Nord-Ost Matjeshering,10 - 200 g glasses,15,25.89,388.35,10/25/1996,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Federal Shipping,(503) 555-9931,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Frahmredder 112a,Cuxhaven,27478,Germany,(04721) 8713,Seafood,Seaweed and fish
213,Chef Anton's Cajun Seasoning,48 - 6 oz jars,10,22,220,10/28/1996,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,United Package,(503) 555-3199,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
214,Alice Mutton,20 - 1 kg tins,70,39,2730,10/28/1996,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Meat/Poultry,Prepared meats
215,Tarte au sucre,48 pies,28,49.3,1380.4,10/28/1996,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,United Package,(503) 555-3199,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Confections,"Desserts, candies, and sweet breads"
216,Carnarvon Tigers,16 kg pkg.,20,62.5,1250,10/29/1996,Bon app',Laurence Lebihans,"12, rue des Bouchers",Marseille,13008,France,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Seafood,Seaweed and fish
217,Jack's New England Clam Chowder,12 - 12 oz cans,12,9.65,115.8,10/29/1996,Bon app',Laurence Lebihans,"12, rue des Bouchers",Marseille,13008,France,Federal Shipping,(503) 555-9931,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
218,Ipoh Coffee,16 - 500 g tins,40,46,1840,10/29/1996,Bon app',Laurence Lebihans,"12, rue des Bouchers",Marseille,13008,France,Federal Shipping,(503) 555-9931,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Beverages,"Soft drinks, coffees, teas, beers, and ales"
219,Geitost,500 g,8,2.5,20,10/29/1996,Simons bistro,Jytte Petersen,Vinbæltet 34,København,1734,Denmark,Federal Shipping,(503) 555-9931,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
220,Raclette Courdavault,5 kg pkg.,9,55,495,10/29/1996,Simons bistro,Jytte Petersen,Vinbæltet 34,København,1734,Denmark,Federal Shipping,(503) 555-9931,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
221,Chang,24 - 12 oz bottles,24,19,456,10/30/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
222,Gorgonzola Telino,12 - 100 g pkgs,56,12.5,700,10/30/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,United Package,(503) 555-3199,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
223,Inlagd Sill,24 - 250 g jars,40,19,760,10/30/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,United Package,(503) 555-3199,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
224,Pâté chinois,24 boxes x 2 pies,40,24,960,10/30/1996,Frankenversand,Peter Franken,Berliner Platz 43,München,80805,Germany,United Package,(503) 555-3199,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
225,Wimmers gute Semmelknodel,20 bags x 4 pieces,50,33.25,1662.5,10/31/1996,Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,Speedy Express,(503) 555-9831,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Grains/Cereals,"Breads, crackers, pasta, and cereal"
226,Scottish Longbreads,10 boxes x 8 pieces,4,12.5,50,10/31/1996,Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,Speedy Express,(503) 555-9831,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
227,Lakkalikoori,500 ml,15,18,270,10/31/1996,Lehmanns Marktstand,Renate Messner,Magazinweg 7,Frankfurt a.M.,60528,Germany,Speedy Express,(503) 555-9831,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Beverages,"Soft drinks, coffees, teas, beers, and ales"
228,Chef Anton's Cajun Seasoning,48 - 6 oz jars,35,22,770,11/1/1996,White Clover Markets,Karl Jablonski,305 - 14th Ave. S. Suite 3B,Seattle,98128,USA,United Package,(503) 555-3199,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
229,Northwoods Cranberry Sauce,12 - 12 oz jars,70,40,2800,11/1/1996,White Clover Markets,Karl Jablonski,305 - 14th Ave. S. Suite 3B,Seattle,98128,USA,United Package,(503) 555-3199,Grandma Kelly's Homestead,Regina Murphy,707 Oxford Rd.,Ann Arbor,48104,USA,(313) 555-5735,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
230,Northwoods Cranberry Sauce,12 - 12 oz jars,70,40,2800,11/4/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,United Package,(503) 555-3199,Grandma Kelly's Homestead,Regina Murphy,707 Oxford Rd.,Ann Arbor,48104,USA,(313) 555-5735,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
231,Teatime Chocolate Biscuits,10 boxes x 12 pieces,80,9.2,736,11/4/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
232,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,9,14,126,11/4/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,United Package,(503) 555-3199,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Grains/Cereals,"Breads, crackers, pasta, and cereal"
233,Alice Mutton,20 - 1 kg tins,36,39,1404,11/5/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Meat/Poultry,Prepared meats
234,Queso Cabrales,1 kg pkg.,12,21,252,7/4/1996,Wilman Kala,Matti Karttunen,Keskuskatu 45,Helsinki,21240,Finland,Federal Shipping,(503) 555-9931,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Calle del Rosal 4,Oviedo,33007,Spain,(98) 598 76 54,Dairy Products,Cheeses
235,Singaporean Hokkien Fried Mee,32 - 1 kg pkgs.,10,14,140,7/4/1996,Wilman Kala,Matti Karttunen,Keskuskatu 45,Helsinki,21240,Finland,Federal Shipping,(503) 555-9931,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Grains/Cereals,"Breads, crackers, pasta, and cereal"
